Label,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
Red,12/12/2018,2018,12,12,Wednesday,49,2018-49,36.64,37.23,34.96,35.03,3001900,35.03,-0.027214636,34.75357143,36.5148
Red,12/13/2018,2018,12,13,Thursday,49,2018-49,35.15,35.3,32.12,32.84,4090200,32.84,-0.062517815,35.015,36.3264
Red,12/14/2018,2018,12,14,Friday,49,2018-49,32.62,33.11,32,32.38,2632000,32.38,-0.014007278,35.22857143,36.122
Red,12/17/2018,2018,12,17,Monday,50,2018-50,32.13,32.42,30.84,30.99,3452700,30.99,-0.042927763,35.09285714,35.8896
Red,12/18/2018,2018,12,18,Tuesday,50,2018-50,31.12,31.62,30.46,30.83,2832200,30.83,-0.005162956,34.90428571,35.6698
Red,12/19/2018,2018,12,19,Wednesday,50,2018-50,30.58,31.95,30.08,30.29,2640700,30.29,-0.017515375,34.55714286,35.4574
Red,12/20/2018,2018,12,20,Thursday,50,2018-50,30.14,30.36,27.95,29.09,2921700,29.09,-0.039617067,34.00642857,35.2502
Red,12/21/2018,2018,12,21,Friday,50,2018-50,29.16,29.85,27.93,28.22,2589300,28.22,-0.029907219,33.41142857,35.0478
Green,12/24/2018,2018,12,24,Monday,51,2018-51,27.9,29.34,27.71,28.32,1028800,28.32,0.003543622,32.79,34.851
Green,12/26/2018,2018,12,26,Wednesday,51,2018-51,28.53,30.87,28.53,30.82,1407000,30.82,0.088276836,32.43142857,34.6962
Green,12/27/2018,2018,12,27,Thursday,51,2018-51,30.4,32.14,30.4,32.1,2511000,32.1,0.041531408,32.08,34.5594
Green,12/28/2018,2018,12,28,Friday,51,2018-51,32.19,32.53,30.85,31.51,1541600,31.51,-0.018380001,31.75214286,34.3634
Green,12/31/2018,2018,12,31,Monday,52,2018-52,31.63,32.07,30.83,31.58,1882400,31.58,0.002221517,31.42928571,34.165
Undefined,1/2/2019,2019,1,2,Wednesday,0,2019-00,30.89,31.8,30.16,30.35,3321100,30.35,-0.038948702,31.025,33.969
Undefined,1/3/2019,2019,1,3,Thursday,0,2019-00,30.35,30.8,29.26,29.92,4542100,29.92,-0.01416804,30.66,33.783
Undefined,1/4/2019,2019,1,4,Friday,0,2019-00,30.41,30.99,30.23,30.8,2395700,30.8,0.029411731,30.51428571,33.5986
Undefined,1/7/2019,2019,1,7,Monday,1,2019-01,30.93,31.71,30.44,30.85,2342000,30.85,0.001623409,30.405,33.4036
Undefined,1/8/2019,2019,1,8,Tuesday,1,2019-01,31.06,31.8,29.94,31.76,1900600,31.76,0.029497569,30.46,33.253
Undefined,1/9/2019,2019,1,9,Wednesday,1,2019-01,31.7,32.96,31.23,32.5,2161600,32.5,0.023299748,30.57928571,33.07
Undefined,1/10/2019,2019,1,10,Thursday,1,2019-01,32.37,34.09,31.63,33.89,2865900,33.89,0.0427692,30.83642857,32.9818
Undefined,1/11/2019,2019,1,11,Friday,1,2019-01,33.73,34.92,33.28,34.33,2459400,34.33,0.01298327,31.21071429,32.9272
Undefined,1/14/2019,2019,1,14,Monday,2,2019-02,33.8,34.22,33.24,33.45,1198600,33.45,-0.025633584,31.58428571,32.811
Undefined,1/15/2019,2019,1,15,Tuesday,2,2019-02,33.69,34.24,33.2,33.45,1543000,33.45,0,31.95071429,32.6748
Undefined,1/16/2019,2019,1,16,Wednesday,2,2019-02,33.47,34.09,32.97,33.56,1464900,33.56,0.00328849,32.14642857,32.5072
Undefined,1/17/2019,2019,1,17,Thursday,2,2019-02,33.52,33.92,33.06,33.55,1716400,33.55,-0.000298033,32.25,32.3466
Undefined,1/18/2019,2019,1,18,Friday,2,2019-02,33.65,34.72,33.51,34,1983200,34,0.013412847,32.42785714,32.2176
Undefined,1/22/2019,2019,1,22,Tuesday,3,2019-03,33.57,33.9,31.26,31.43,2042700,31.43,-0.075588235,32.41714286,32.0254
Undefined,1/23/2019,2019,1,23,Wednesday,3,2019-03,31.72,31.92,30.3,30.84,2072900,30.84,-0.018771874,32.45214286,32.0424
Undefined,1/24/2019,2019,1,24,Thursday,3,2019-03,30.93,31.24,30.56,31.13,1880500,31.13,0.00940334,32.53857143,32.0768
Undefined,1/25/2019,2019,1,25,Friday,3,2019-03,31.42,32.73,31.2,32.55,2469500,32.55,0.045615164,32.66357143,32.1228
Undefined,1/28/2019,2019,1,28,Monday,4,2019-04,32,32.94,31.27,32.68,1393900,32.68,0.003993886,32.79428571,32.1556
Undefined,1/29/2019,2019,1,29,Tuesday,4,2019-04,32.45,33.29,32.32,32.95,1488900,32.95,0.008261965,32.87928571,32.2054
Undefined,1/30/2019,2019,1,30,Wednesday,4,2019-04,33.3,34.17,32.62,33.6,1858300,33.6,0.019726767,32.95785714,32.3092
Undefined,1/31/2019,2019,1,31,Thursday,4,2019-04,33.73,35.3,33.72,35.09,3693700,35.09,0.0443453,33.04357143,32.45
Undefined,2/1/2019,2019,2,1,Friday,4,2019-04,35.12,35.36,34.06,34.24,2008400,34.24,-0.024223368,33.03714286,32.5566
Undefined,2/4/2019,2019,2,4,Monday,5,2019-05,34.41,34.56,33.83,33.9,1558400,33.9,-0.009929906,33.06928571,32.6914
Undefined,2/5/2019,2019,2,5,Tuesday,5,2019-05,33.89,34.86,33.89,34.71,1747200,34.71,0.023893715,33.15928571,32.821
Undefined,2/6/2019,2019,2,6,Wednesday,5,2019-05,34.61,34.92,33.73,34.08,1968400,34.08,-0.018150303,33.19642857,32.919
Undefined,2/7/2019,2019,2,7,Thursday,5,2019-05,33.57,34.33,32.66,34.26,2796900,34.26,0.005281572,33.24714286,33.0164
